学期	学号	书名	日期
1	79	2675980	0914
1	49	2692576	0915
1	76	1197980	0915
1	76	2764238	0915
1	76	2697050	0915
1	76	2464275	0915
1	76	1471448	0915
1	76	2697059	0915
1	52	2747628	0915
1	52	1457277	0915
1	52	2737001	0915
1	52	1335813	0915
1	41	2610910	0916
1	35	1329729	0916
1	35	2849002	0916
1	54	2857328	0916
1	2	2741738	0916
1	35	2773909	0916
1	55	1297346	0916
1	51	2625353	0916
1	34	2623724	0916
1	76	2592587	0916
1	76	2747689	0916
1	89	2625044	0916
1	13	1371890	0916
1	20	1493802	0917
1	65	1359390	0917
1	65	1183549	0917
1	10	2894552	0917
1	10	1306489	0917
1	55	1347783	0917
1	55	1438240	0917
1	45	1388482	0917
1	45	2875998	0917
1	45	1512137	0917
1	85	2810211	0917
1	85	1396266	0917
1	85	2645723	0917
1	85	1289404	0917
1	85	2774427	0917
1	7	1379686	0917
1	7	1304246	0917
1	7	2584715	0917
1	5	2750547	0917
1	5	2606200	0917
1	5	1378921	0917
1	5	2741353	0917
1	55	1329946	0917
1	55	2630453	0917
1	72	1158268	0917
1	72	1368724	0917
1	14	1498641	0917
1	36	1191977	0917
1	72	1344711	0917
1	90	1512939	0917
1	72	2703649	0917
1	72	1494544	0917
1	72	2707137	0917
1	72	2888541	0917
1	36	2700808	0917
1	36	2641847	0917
1	36	2908661	0917
1	82	2932456	0917
1	82	1429534	0917
1	6	1512783	0917
1	6	1526185	0917
1	3	2579725	0917
1	20	2895496	0918
1	20	2883040	0918
1	20	1222176	0918
1	10	1473435	0918
1	89	1190107	0918
1	89	2604903	0918
1	3	1263444	0918
1	3	1039827	0918
1	14	2621372	0919
1	6	2751088	0919
1	6	2751089	0919
1	45	2858246	0920
1	45	2897190	0920
1	45	2658642	0920
1	51	1117071	0920
1	51	1163053	0920
1	51	1556054	0920
1	13	1163053	0920
1	13	1556055	0920
1	6	2765527	0920
1	6	2827892	0920
1	6	1255339	0920
1	54	2804267	0921
1	54	2895197	0921
1	54	1560285	0921
1	67	2574242	0921
1	67	2785385	0921
1	67	2785397	0921
1	83	2828918	0921
1	54	1233612	0921
1	54	2718398	0921
1	15	2859451	0922
1	91	1268819	0922
1	91	2663785	0922
1	41	1450353	0922
1	41	1450360	0922
1	87	1146469	0922
1	87	1262333	0922
1	87	2619919	0922
1	19	1358927	0922
1	22	1170700	0922
1	89	1475113	0923
1	51	1331699	0923
1	51	2624653	0923
1	79	1453927	0923
1	79	2716090	0923
1	40	1188611	0923
1	40	2723683	0923
1	50	1148293	0923
1	50	2817856	0923
1	50	1298964	0923
1	56	1003816	0924
1	56	1003816	0924
1	56	1003816	0924
1	56	1063175	0924
1	56	2828917	0924
1	69	2648423	0924
1	69	1005321	0924
1	69	1005321	0924
1	69	1005321	0924
1	8	1284345	0924
1	20	1372026	0924
1	20	2831639	0924
1	90	2697393	0924
1	90	2721421	0924
1	90	1252577	0924
1	23	2790953	0924
1	23	1197774	0924
1	23	2641938	0924
1	23	1480384	0924
1	23	1289358	0924
1	23	1174509	0924
1	23	2823318	0924
1	90	1444405	0924
1	41	1152341	0924
1	18	1148581	0924
1	22	1298809	0924
1	31	2743012	0924
1	31	2770566	0924
1	15	1403182	0924
1	18	2598433	0924
1	91	1305808	0924
1	91	1540782	0924
1	89	1384047	0925
1	1	1520557	0926
1	18	2568059	0926
1	55	2874309	0926
1	55	2809848	0926
1	55	2807111	0926
1	55	1277489	0926
1	55	1549220	0926
1	55	2819052	0926
1	51	2579446	0926
1	51	1515441	0926
1	51	2588119	0926
1	13	1184732	0926
1	83	2734442	0926
1	83	1181996	0926
1	56	2652266	0926
1	56	1272304	0926
1	56	2796805	0926
1	56	1311511	0926
1	49	2785157	0926
1	49	1191744	0926
1	49	1286075	0926
1	49	1143093	0926
1	84	2917412	0926
1	84	1292059	0926
1	84	2878794	0926
1	84	2788641	0926
1	50	1429461	0926
1	32	2830528	0928
1	32	1455680	0928
1	4	1473399	0928
1	4	1473523	0928
1	62	1491775	0928
1	84	1511720	0928
1	49	1334477	0928
1	3	2587432	0928
1	3	1498588	0928
1	3	1425220	0928
1	12	2787010	0928
1	12	1539292	0928
1	58	2908248	0928
1	50	2751280	0928
1	71	2766506	0928
1	71	1182472	0928
1	53	1560833	0928
1	53	1271001	0928
1	53	1035642	0928
1	53	1454996	0928
1	53	2601915	0928
1	56	2610734	0928
1	51	2580304	0929
1	19	2622499	0929
1	58	2658413	0929
1	58	1420066	0929
1	3	2914365	0929
1	3	2894729	0929
1	41	2594761	0929
1	55	2718545	1004
1	55	1321879	1004
1	55	2895254	1004
1	55	2848872	1004
1	55	2843497	1004
1	70	1163707	1004
1	70	1569234	1004
1	70	2800990	1004
1	85	2594489	1006
1	85	1287046	1006
1	85	1155288	1006
1	3	2731592	1006
1	3	1267071	1006
1	3	2696761	1006
1	3	2837107	1006
1	3	2588376	1006
1	66	2792349	1006
1	66	2627240	1006
1	66	2752061	1006
1	37	1446764	1007
1	62	2784506	1007
1	62	2935632	1007
1	17	2762130	1007
1	17	2949792	1007
1	17	2636540	1007
1	17	2765495	1007
1	17	2563061	1007
1	17	1268377	1007
1	17	2607695	1007
1	17	2562986	1007
1	17	1538911	1007
1	17	2563068	1007
1	17	2906648	1007
1	17	1476299	1007
1	51	1246471	1007
1	86	2857564	1008
1	86	1543702	1008
1	55	1289903	1008
1	55	2890663	1008
1	55	1382143	1008
1	55	2126910	1008
1	55	2106970	1008
1	6	1306514	1008
1	6	2941000	1008
1	10	2790612	1009
1	9	2839082	1009
1	74	2856747	1009
1	74	1163796	1009
1	89	1475113	1009
1	19	1148818	1010
1	19	1242666	1010
1	19	1513455	1010
1	19	2657846	1010
1	13	1559010	1010
1	13	1469480	1010
1	85	2626986	1010
1	85	2626988	1010
1	85	2697123	1010
1	54	2845435	1010
1	54	1358525	1010
1	54	1533696	1010
1	90	1263208	1010
1	91	2606248	1010
1	91	1398856	1010
1	15	1491229	1010
1	69	2913656	1010
1	69	2913653	1010
1	79	1299801	1011
1	79	1173574	1011
1	37	1537324	1011
1	37	1537336	1011
1	15	2855560	1011
1	82	1509978	1012
1	82	2945539	1012
1	82	1517125	1012
1	67	2783682	1012
1	67	2605633	1012
1	67	2907964	1012
1	51	1498854	1012
1	55	1334132	1012
1	55	2739238	1012
1	18	1083171	1012
1	1	1458042	1013
1	1	2946186	1013
1	3	1486535	1013
1	63	1556054	1013
1	3	1482057	1013
1	3	1297764	1013
1	74	2918306	1013
1	74	2818723	1013
1	81	2702832	1013
1	49	2874460	1014
1	49	1444544	1014
1	3	2759616	1014
1	3	2233385	1014
1	65	2810323	1015
1	91	1305791	1015
1	91	1305801	1015
1	91	1475921	1015
1	91	1305772	1015
1	79	2830790	1015
1	79	2834915	1015
1	79	1456042	1015
1	48	2789083	1015
1	48	2678465	1015
1	1	1538321	1016
1	1	2794015	1016
1	6	2920147	1016
1	51	1097874	1016
1	13	1097872	1016
1	55	1362095	1017
1	5	2922968	1017
1	5	1296207	1017
1	5	2708030	1017
1	5	1308256	1017
1	5	1470524	1017
1	5	2759735	1017
1	5	1336315	1017
1	31	2721029	1017
1	66	2888542	1017
1	66	2918586	1017
1	81	2873257	1017
1	81	1411255	1017
1	31	2671801	1018
1	23	1252577	1018
1	58	2607988	1018
1	86	1279490	1018
1	86	1412367	1018
1	87	1424642	1018
1	87	1362788	1018
1	21	2891712	1019
1	20	1198596	1019
1	20	2800621	1019
1	41	2956424	1020
1	41	2956425	1020
1	91	1260095	1021
1	91	1320861	1021
1	91	1260062	1021
1	91	1290490	1021
1	91	1286117	1021
1	37	2803345	1021
1	37	2803324	1021
1	1	2885156	1021
1	1	2607445	1021
1	1	2767174	1021
1	3	1031259	1022
1	3	1099681	1022
1	9	2944130	1023
1	9	2795415	1023
1	84	2600733	1023
1	84	1141173	1023
1	84	2929244	1023
1	84	2602128	1023
1	42	2641595	1023
1	42	1478514	1023
1	82	2758027	1023
1	71	1180769	1023
1	71	1006468	1023
1	71	1006468	1023
1	71	1006468	1023
1	61	2759571	1024
1	61	2956219	1024
1	11	2756424	1025
1	11	1133256	1025
1	90	1044201	1025
1	16	2580348	1026
1	16	2815210	1026
1	16	2761015	1026
1	14	2880303	1026
1	14	1400263	1026
1	35	2856465	1026
1	35	1027249	1026
1	2	1376960	1026
1	56	2838768	1026
1	56	2748201	1026
1	11	1133257	1026
1	55	2598833	1026
1	55	2206590	1026
1	55	2126761	1026
1	10	1247592	1026
1	1	1495883	1026
1	1	1505519	1026
1	1	1301994	1026
1	1	2608930	1026
1	50	2786031	1026
1	78	1065468	1026
1	81	2821474	1027
1	81	2856469	1027
1	35	1549307	1027
1	54	1358525	1027
1	54	2747985	1027
1	74	1031234	1027
1	74	1259760	1027
1	74	2768198	1027
1	74	2720884	1027
1	74	1543412	1027
1	74	2887481	1027
1	74	2577733	1027
1	52	1260914	1027
1	52	1007501	1027
1	52	1007501	1027
1	52	1007501	1027
1	28	1139814	1027
1	28	2800428	1027
1	18	1343530	1027
1	53	1418416	1028
1	5	1400910	1029
1	5	2690232	1029
1	5	2630592	1029
1	5	1105156	1029
1	20	1306157	1029
1	19	1164983	1029
1	11	1134410	1029
1	11	1133258	1030
1	51	1267921	1030
1	6	2958622	1030
1	10	1265729	1030
1	10	1199685	1030
1	11	1146806	1031
1	65	2963390	1031
1	89	1384047	1031
1	11	1401226	1101
1	11	1146810	1101
1	80	1033509	1101
1	80	1195797	1101
1	80	2875305	1101
1	20	1051629	1101
1	66	1081083	1102
1	66	2629202	1102
1	66	1198426	1102
1	11	1133287	1102
1	11	1133288	1102
1	11	1146814	1102
1	20	1143429	1102
1	10	1272579	1102
1	18	1370845	1102
1	18	1486754	1102
1	22	1274982	1103
1	35	2686198	1103
1	28	1563914	1103
1	28	1539622	1103
1	52	1309774	1103
1	52	1268952	1103
1	52	1345133	1103
1	41	2964816	1104
1	38	1368728	1104
1	70	1134297	1104
1	70	1079683	1104
1	70	2796514	1104
1	80	2796102	1104
1	80	1351214	1104
1	80	1157879	1104
1	61	1519093	1104
1	61	2755191	1104
1	61	1519086	1104
1	61	1278282	1104
1	61	1456160	1104
1	61	1453303	1104
1	61	2743696	1104
1	61	2745915	1104
1	14	2843660	1105
1	18	2598433	1106
1	18	2568059	1106
1	38	1300585	1106
1	38	1465575	1106
1	47	1316907	1107
1	47	2822349	1107
1	47	1450932	1107
1	47	1292015	1107
1	77	1361413	1107
1	77	2602664	1107
1	10	1280405	1108
1	10	1280420	1108
1	10	1280385	1108
1	86	1543702	1108
1	86	2857564	1108
1	71	1365502	1108
1	23	1181943	1108
1	23	2762139	1108
1	23	2797236	1108
1	45	2958156	1108
1	45	1173516	1108
1	20	1168285	1108
1	64	1316074	1109
1	64	2695113	1109
1	64	1413409	1109
1	64	1316085	1109
1	11	1133271	1109
1	11	1133277	1109
1	31	1175625	1109
1	31	1408055	1109
1	61	2607393	1109
1	61	2645696	1109
1	74	2896128	1110
1	74	2871910	1110
1	74	2943893	1110
1	31	2813274	1111
1	31	1523861	1111
1	51	2588119	1111
1	51	2579446	1111
1	51	1515441	1111
1	56	1460426	1111
1	56	1365286	1111
1	56	1468516	1111
1	74	1463968	1111
1	74	1463971	1111
1	74	1545644	1111
1	55	1162259	1111
1	55	2859854	1111
1	55	2869916	1111
1	55	2925377	1111
1	1	1496733	1111
1	1	2566572	1111
1	71	1252809	1111
1	1	2898752	1111
1	1	2914343	1111
1	19	1366782	1111
1	19	1357139	1111
1	19	2872289	1111
1	19	2705539	1111
1	19	2942779	1111
1	89	1324438	1112
1	89	2632824	1112
1	89	1303617	1112
1	89	2566461	1112
1	89	2677739	1112
1	89	1367829	1112
1	55	1362095	1112
1	52	1513525	1112
1	52	1449493	1112
1	52	1489978	1112
1	52	2836688	1112
1	28	1195876	1112
1	28	2836491	1112
1	28	2711027	1112
1	28	1442646	1112
1	55	2609611	1112
1	13	1559010	1113
1	20	1165365	1113
1	20	2857595	1114
1	28	1356086	1114
1	28	1405171	1114
1	28	1289271	1114
1	27	1294338	1114
1	27	1474681	1114
1	13	1455137	1115
1	13	1299766	1115
1	18	2836142	1115
1	51	2580304	1115
1	51	1407340	1115
1	13	2878477	1115
1	20	1312813	1115
1	55	2960675	1116
1	55	2967756	1116
1	76	1503404	1116
1	76	2729634	1116
1	1	1512649	1117
1	1	2608774	1117
1	1	2894723	1117
1	1	2919287	1117
1	1	2804907	1117
1	28	1286703	1117
1	28	1270242	1117
1	28	2683294	1117
1	28	2763499	1117
1	28	1166711	1117
1	58	1412322	1118
1	13	2896845	1118
1	13	1330125	1118
1	86	2642565	1118
1	86	1289199	1118
1	22	1321614	1118
1	51	1498854	1119
1	49	2874460	1119
1	49	1444544	1119
1	55	2967650	1119
1	82	2920038	1120
1	82	2659798	1120
1	44	1154154	1120
1	42	2907619	1120
1	10	1175956	1120
1	10	1175950	1120
1	10	2707480	1120
1	6	1160889	1120
1	6	1245250	1120
1	55	2961002	1121
1	55	2957488	1121
1	62	2784506	1121
1	85	2594489	1121
1	85	1287046	1121
1	89	1475113	1121
1	45	1245165	1121
1	45	2968918	1121
1	86	2718123	1122
1	86	1518316	1122
1	86	2588798	1122
1	86	2642535	1122
1	86	1518316	1122
1	86	2718123	1122
1	86	2588798	1122
1	86	2642535	1122
1	86	1280635	1122
1	86	2604357	1122
1	86	1163194	1122
1	58	2887983	1122
1	58	2842281	1122
1	40	2914680	1122
1	40	2630236	1122
1	40	1175980	1122
1	40	2804387	1122
1	79	2685549	1122
1	79	2966643	1122
1	79	2564952	1122
1	79	2564928	1122
1	76	1308256	1122
1	5	2562986	1122
1	5	2743696	1122
1	5	1456160	1122
1	5	1519093	1122
1	77	2600301	1122
1	20	1318114	1122
1	20	2599576	1122
1	55	2965904	1122
1	20	2789923	1122
1	51	2788581	1122
1	51	1486495	1122
1	55	2827087	1122
1	13	1510562	1122
1	13	2908661	1122
1	86	2895373	1122
1	23	2663938	1123
1	23	2835502	1123
1	23	2111290	1123
1	6	1142516	1123
1	6	2919398	1123
1	6	1388548	1123
1	6	1542419	1123
1	6	1429632	1123
1	6	1525600	1123
1	86	2783677	1123
1	86	2919680	1123
1	34	1190336	1123
1	18	1414504	1123
1	74	1486391	1124
1	74	1456137	1124
1	55	2833723	1124
1	55	1289438	1124
1	55	1348410	1124
1	55	2957646	1124
1	55	2610910	1124
1	55	2610910	1124
1	55	2957646	1124
1	55	2833723	1124
1	55	1348410	1124
1	55	2566616	1124
1	10	1283328	1125
1	10	1283325	1125
1	74	2586025	1125
1	81	1438745	1125
1	81	2589554	1125
1	74	2894618	1125
1	79	2897073	1125
1	79	2802110	1125
1	79	2719856	1125
1	79	1086642	1125
1	40	2700025	1125
1	13	1031137	1125
1	13	1168240	1125
1	13	1274158	1125
1	38	1300585	1126
1	38	2797600	1126
1	63	1556054	1126
1	63	1526756	1126
1	24	1140914	1126
1	24	2816246	1126
1	24	1390441	1126
1	63	2613651	1126
1	20	2700130	1127
1	9	1476149	1127
1	9	1504833	1127
1	18	1534809	1127
1	18	2665269	1127
1	38	2915769	1127
1	41	1099705	1127
1	41	1104588	1127
1	19	1366782	1128
1	28	2916734	1128
1	28	2816614	1128
1	28	2835747	1128
1	27	1193440	1128
1	27	2767579	1128
1	11	1134402	1128
1	11	1133296	1128
1	11	1133295	1128
1	11	1134403	1128
1	38	2911043	1128
1	38	2909585	1128
1	38	2921601	1128
1	38	2915617	1128
1	12	1462627	1128
1	79	2758521	1128
1	79	2801769	1128
1	13	2963314	1128
1	10	1147066	1129
1	10	1245227	1129
1	11	1542412	1129
1	11	1429630	1129
1	11	1440667	1129
1	11	1535245	1129
1	11	1535229	1129
1	55	2963832	1129
1	70	1333615	1129
1	16	1407195	1129
1	91	1290490	1129
1	91	1286117	1129
1	90	1104576	1130
1	90	2720615	1130
1	54	2676035	1130
1	54	1428068	1130
1	18	1074145	1130
1	20	2677024	1130
1	76	1278287	1130
1	58	2801429	1130
1	58	2703268	1130
1	13	1447560	1130
1	13	2906541	1130
1	13	2742689	1130
1	18	1447383	1130
1	18	1326162	1130
1	23	1185272	1130
1	23	2580210	1130
1	35	2876993	1201
1	35	2733469	1201
1	74	2879224	1201
1	3	1280876	1201
1	54	1452022	1201
1	86	2943387	1201
1	86	2908376	1201
1	86	2960680	1201
1	86	2630680	1201
1	55	2974732	1202
1	55	2969534	1202
1	39	2834883	1202
1	39	1498075	1202
1	70	2965326	1202
1	56	1365286	1202
1	56	1460426	1202
1	56	1468516	1202
1	51	2569556	1202
1	86	2797728	1202
1	40	2806806	1202
1	10	1163667	1203
1	10	1163669	1203
1	7	1317237	1204
1	7	1429303	1204
1	7	1091521	1204
1	7	2901157	1204
1	38	2907770	1204
1	38	2906980	1204
1	38	2909894	1204
1	38	2907918	1204
1	20	1464586	1205
1	20	1175464	1205
1	20	1264306	1205
1	58	2227895	1205
1	58	1287035	1205
1	58	1287030	1205
1	55	2920975	1205
1	55	1537416	1205
1	11	1513425	1205
1	11	1133281	1205
1	1	2628054	1205
1	1	2797096	1205
1	12	1372919	1205
1	12	1373601	1205
1	12	1372917	1205
1	13	1070143	1205
1	13	2878479	1205
1	64	2695113	1206
1	64	2958087	1206
1	38	2906983	1206
1	38	2906988	1206
1	38	2808064	1206
1	14	1466991	1206
1	14	2836143	1206
1	14	1307195	1206
1	16	2901478	1206
1	38	2958055	1206
1	76	1160775	1206
1	76	2815816	1206
1	65	1125628	1206
1	65	2957472	1206
1	66	2777254	1207
1	66	1290732	1207
1	23	1286708	1207
1	10	1269759	1207
1	10	1269760	1207
1	42	1459743	1207
1	18	2588384	1207
1	18	2900789	1207
1	51	2774104	1208
1	51	2669738	1208
1	74	1499585	1208
1	54	1353047	1208
1	86	2595934	1208
1	86	1491609	1208
1	86	1416616	1208
1	13	1456410	1208
1	10	1193468	1209
1	52	1089408	1210
1	52	1485488	1210
1	52	1540820	1210
1	8	2664296	1210
1	8	1302790	1210
1	8	1476187	1210
1	8	1299449	1210
1	24	1456409	1210
1	50	1287783	1211
1	24	1159024	1211
1	63	1380589	1211
1	63	1159021	1211
1	19	2568295	1212
1	19	1366782	1212
1	67	1245905	1212
1	67	1343366	1212
1	56	1394252	1212
1	19	2718545	1212
1	19	1420576	1212
1	24	1455386	1212
1	67	2599689	1212
1	67	2608492	1212
1	67	1474485	1212
1	55	2598833	1213
1	35	2713949	1213
1	18	2598433	1213
1	5	2818538	1214
1	55	2661346	1214
1	1	2574632	1214
1	1	2565104	1214
1	71	2843487	1214
1	71	2686906	1214
1	1	2786113	1214
1	82	2593459	1214
1	82	1316355	1214
1	13	1368162	1214
1	18	2886323	1215
1	6	1512037	1216
1	56	2683265	1217
1	56	2748020	1217
1	56	2697457	1217
1	56	1283814	1217
1	56	1043205	1217
1	74	1333509	1217
1	56	1296781	1220
1	47	2822349	1221
1	67	1293032	1221
1	67	1388486	1221
1	18	2568059	1222
1	54	2958892	1222
1	54	2588192	1222
1	54	2878975	1222
1	54	1371870	1222
1	55	1298517	1223
1	55	1463898	1223
1	55	1525661	1223
1	72	2628889	1223
1	72	1152733	1223
1	72	2719609	1223
1	72	2758330	1223
1	72	2697957	1223
1	72	2565121	1223
1	72	1386401	1223
1	72	1570564	1223
1	72	2751646	1223
1	72	1431273	1223
1	56	1279210	1223
1	89	2585991	1225
1	7	1085510	1225
1	7	1286083	1225
1	7	1465582	1225
1	55	2984653	1225
1	55	1153173	1225
1	55	1181552	1225
1	55	1510284	1225
1	55	1181731	1225
1	6	1443079	1226
1	15	1154421	1227
1	24	1120183	1227
1	83	1499775	1228
1	85	2983151	1228
1	85	2983248	1228
1	85	2983205	1228
1	19	2568295	1228
1	40	2832196	1228
1	40	2786577	1228
1	51	2882156	1228
1	67	1382579	1228
1	19	2623373	1228
1	19	1170489	1228
1	13	2742585	1228
1	5	2766879	1229
1	19	1525903	1230
1	6	2911012	1230
1	55	2984411	1231
1	55	2920975	1231
1	21	2944773	1231
1	21	2912755	1231
1	21	2944522	1231
1	39	1018942	1231
1	39	1018942	1231
1	39	2871063	1231
1	39	1535261	1231
1	39	1198717	1231
1	41	1396132	0102
