学期	学号	日期	时间
1	19	0901	085756
1	56	0901	085821
1	45	0901	091857
1	56	0901	095104
1	70	0901	095143
1	18	0901	101758
1	52	0901	102503
1	17	0901	102808
1	5	0901	102812
1	71	0901	103825
1	85	0901	104753
1	23	0901	105648
1	7	0901	111712
1	82	0901	113132
1	87	0901	114117
1	45	0901	122902
1	33	0901	123335
1	91	0901	123640
1	3	0901	123643
1	83	0901	124428
1	74	0901	124431
1	44	0901	124433
1	46	0901	133305
1	88	0901	133607
1	86	0901	133802
1	37	0901	133942
1	48	0901	133943
1	6	0901	134306
1	88	0901	135218
1	69	0901	135600
1	83	0901	141646
1	44	0901	141648
1	4	0901	142000
1	49	0901	142006
1	64	0901	142649
1	20	0901	143841
1	72	0901	144554
1	22	0901	150618
1	63	0901	150620
1	30	0901	151716
1	41	0901	152444
1	10	0901	153624
1	36	0901	153758
1	14	0901	153801
1	21	0901	160324
1	77	0901	160328
1	9	0901	163121
1	50	0901	163139
1	13	0901	163150
1	21	0901	164809
1	73	0901	165425
1	8	0901	170612
1	53	0902	105045
1	89	0902	105049
1	65	0902	105051
1	59	0902	105152
1	40	0902	105158
1	40	0902	105243
1	65	0902	105246
1	89	0902	105256
1	65	0902	105316
1	53	0902	105319
1	65	0909	194340
1	89	0909	194343
1	33	0912	120535
1	65	0912	124017
1	44	0912	125142
1	44	0913	120015
1	26	0913	120021
1	10	0913	121320
1	10	0915	131038
1	19	0915	132832
1	19	0915	134120
1	88	0915	142633
1	88	0915	142752
1	62	0915	150752
1	49	0915	150755
1	46	0915	155306
1	65	0915	162624
1	89	0915	162644
1	17	0915	163801
1	76	0915	163806
1	5	0915	163810
1	74	0915	190433
1	88	0915	200846
1	30	0915	201323
1	52	0915	203500
1	52	0915	212932
1	89	0916	084927
1	55	0916	092854
1	41	0916	093320
1	2	0916	095103
1	10	0916	095257
1	20	0916	095301
1	10	0916	100533
1	20	0916	100535
1	64	0916	103655
1	13	0916	105154
1	86	0916	110305
1	89	0916	111102
1	74	0916	112355
1	55	0916	145332
1	6	0916	145809
1	13	0916	151347
1	51	0916	151350
1	55	0916	152322
1	34	0916	160843
1	89	0916	164104
1	76	0916	164238
1	17	0916	164242
1	88	0916	165650
1	88	0916	165705
1	13	0916	212110
1	56	0917	082056
1	58	0917	082135
1	7	0917	082136
1	86	0917	082138
1	74	0917	082800
1	61	0917	083038
1	69	0917	083041
1	6	0917	083231
1	20	0917	084413
1	10	0917	084415
1	44	0917	084520
1	22	0917	084708
1	3	0917	085024
1	88	0917	085030
1	65	0917	085931
1	82	0917	090440
1	45	0917	090441
1	85	0917	090442
1	64	0917	090443
1	56	0917	092143
1	55	0917	093132
1	62	0917	093644
1	87	0917	093817
1	76	0917	095824
1	5	0917	095826
1	34	0917	104208
1	91	0917	143446
1	34	0917	143448
1	65	0917	144319
1	50	0917	152006
1	87	0917	154717
1	89	0917	183740
1	72	0917	190352
1	14	0917	190358
1	36	0917	190408
1	14	0917	190420
1	74	0917	191135
1	89	0917	191209
1	4	0917	191211
1	19	0917	191649
1	46	0917	192918
1	6	0917	201743
1	82	0917	201751
1	3	0917	201754
1	10	0918	082509
1	20	0918	082510
1	17	0918	153132
1	89	0918	171502
1	3	0918	211544
1	89	0918	211651
1	89	0919	125022
1	74	0919	135034
1	19	0919	143537
1	44	0919	143537
1	74	0919	145646
1	65	0919	152822
1	9	0919	152823
1	30	0919	154033
1	50	0919	155752
1	3	0919	161643
1	62	0919	164245
1	47	0919	164247
1	62	0919	164300
1	14	0919	173808
1	14	0919	173832
1	6	0919	181214
1	22	0920	163448
1	87	0920	170832
1	45	0920	173139
1	17	0920	180545
1	5	0920	180547
1	51	0920	180627
1	13	0920	180630
1	13	0920	183012
1	3	0920	184205
1	6	0920	184208
1	76	0920	190826
1	37	0920	205737
1	17	0920	212706
1	86	0921	101219
1	7	0921	101220
1	58	0921	104606
1	41	0921	121010
1	43	0921	141416
1	7	0921	143152
1	6	0921	161540
1	22	0921	161819
1	63	0921	161819
1	88	0921	162416
1	22	0921	162423
1	63	0921	162812
1	20	0921	165607
1	83	0921	165619
1	44	0921	170434
1	8	0921	173442
1	76	0921	194501
1	17	0921	194503
1	59	0921	200514
1	87	0922	092940
1	1	0922	093706
1	89	0922	103617
1	91	0922	120304
1	89	0922	121737
1	87	0922	122456
1	70	0922	124118
1	89	0922	124950
1	59	0922	125430
1	52	0922	133603
1	71	0922	133615
1	41	0922	134512
1	76	0922	144354
1	17	0922	144356
1	19	0922	160812
1	22	0922	165302
1	63	0922	165302
1	63	0922	183328
1	22	0922	184704
1	63	0922	184705
1	64	0923	090730
1	89	0923	092236
1	87	0923	093538
1	74	0923	102726
1	13	0923	104006
1	51	0923	104016
1	50	0923	164248
1	40	0923	170820
1	74	0923	180151
1	71	0923	190216
1	58	0923	201735
1	58	0923	201754
1	59	0923	204923
1	33	0924	102031
1	56	0924	102047
1	44	0924	102440
1	9	0924	102443
1	74	0924	102502
1	88	0924	102506
1	86	0924	102625
1	58	0924	102628
1	70	0924	103119
1	69	0924	103121
1	66	0924	104753
1	66	0924	105556
1	59	0924	132826
1	49	0924	143327
1	4	0924	143331
1	89	0924	182022
1	65	0924	183146
1	9	0924	183925
1	2	0924	183925
1	13	0924	184357
1	51	0924	184359
1	19	0924	184542
1	50	0924	185059
1	4	0924	185241
1	49	0924	185247
1	20	0924	185329
1	59	0924	190857
1	20	0924	191009
1	8	0924	191053
1	52	0924	191056
1	91	0924	191404
1	23	0924	191414
1	10	0924	191709
1	50	0924	192214
1	19	0924	201155
1	41	0924	201306
1	41	0924	201417
1	22	0924	201723
1	63	0924	201728
1	63	0924	201957
1	38	0924	202000
1	65	0924	202037
1	18	0924	203507
1	38	0924	203606
1	18	0925	082756
1	64	0925	084233
1	10	0925	084233
1	89	0925	204629
1	33	0926	082459
1	26	0926	082503
1	44	0926	083256
1	41	0926	084138
1	18	0926	084139
1	1	0926	084141
1	7	0926	084604
1	58	0926	084605
1	86	0926	084608
1	10	0926	084952
1	55	0926	131653
1	77	0926	132534
1	77	0926	132552
1	58	0926	145447
1	71	0926	145503
1	51	0926	153429
1	13	0926	153431
1	50	0926	160226
1	20	0926	161709
1	83	0926	161712
1	56	0926	162055
1	64	0926	162515
1	64	0926	162538
1	49	0926	162608
1	85	0926	162848
1	43	0926	163227
1	89	0926	163552
1	51	0926	164403
1	13	0926	164404
1	65	0926	175255
1	44	0927	125643
1	4	0927	180229
1	20	0927	192446
1	59	0927	211650
1	3	0928	082908
1	10	0928	084705
1	13	0928	102012
1	51	0928	102016
1	88	0928	102157
1	77	0928	102200
1	74	0928	102527
1	44	0928	102531
1	49	0928	102539
1	4	0928	102541
1	62	0928	102543
1	66	0928	102553
1	22	0928	102812
1	63	0928	102819
1	58	0928	104357
1	86	0928	104359
1	7	0928	104401
1	38	0928	104728
1	87	0928	112827
1	38	0928	114637
1	74	0928	122419
1	34	0928	161917
1	22	0928	162014
1	12	0928	162030
1	38	0928	162131
1	1	0928	162144
1	71	0928	162146
1	13	0928	162303
1	58	0928	162305
1	43	0928	162305
1	51	0928	162307
1	91	0928	163231
1	53	0928	163240
1	86	0928	163315
1	50	0928	163427
1	56	0928	183311
1	51	0928	184133
1	13	0928	184136
1	21	0929	102734
1	51	0929	125302
1	13	0929	125305
1	3	0929	161729
1	20	0929	161759
1	19	0929	161934
1	51	0929	162454
1	58	0929	170207
1	58	0929	170240
1	89	0929	172337
1	20	0929	175742
1	10	0929	175933
1	63	0929	180048
1	8	0929	184442
1	12	0929	200849
1	86	0929	201403
1	51	1004	083117
1	55	1004	110304
1	10	1004	120740
1	10	1004	132346
1	70	1004	142643
1	38	1004	151527
1	89	1004	163637
1	59	1004	201937
1	10	1005	082014
1	10	1005	082053
1	89	1005	090108
1	22	1005	113056
1	38	1005	130037
1	65	1005	140454
1	10	1005	151249
1	22	1005	162336
1	22	1005	183606
1	82	1005	200445
1	3	1005	200451
1	70	1005	202420
1	89	1006	082903
1	10	1006	084147
1	89	1006	111755
1	34	1006	112523
1	20	1006	121617
1	3	1006	122827
1	70	1006	122829
1	22	1006	123359
1	10	1006	134441
1	85	1006	141934
1	66	1006	142921
1	89	1006	151826
1	63	1006	165937
1	13	1006	185426
1	20	1006	185502
1	22	1006	192632
1	63	1006	192633
1	59	1006	192653
1	89	1006	210529
1	65	1007	083816
1	59	1007	084039
1	10	1007	084959
1	51	1007	092853
1	34	1007	093732
1	37	1007	095415
1	20	1007	101547
1	40	1007	102950
1	55	1007	104211
1	9	1007	105810
1	74	1007	111850
1	22	1007	122530
1	10	1007	123335
1	6	1007	125849
1	62	1007	133000
1	5	1007	140543
1	66	1007	141113
1	30	1007	144830
1	20	1007	162515
1	89	1007	180440
1	13	1007	181350
1	51	1007	181353
1	18	1007	181355
1	59	1007	183020
1	74	1007	184052
1	49	1007	185134
1	74	1007	205733
1	22	1008	101708
1	13	1008	101730
1	62	1008	101925
1	34	1008	101927
1	56	1008	102258
1	86	1008	102658
1	58	1008	102701
1	20	1008	105919
1	37	1008	105924
1	55	1008	112738
1	74	1008	120123
1	13	1008	141837
1	51	1008	141840
1	18	1008	145018
1	6	1008	211621
1	10	1009	082121
1	20	1009	082123
1	33	1009	082209
1	4	1009	082518
1	9	1009	090925
1	1	1009	125429
1	13	1009	174800
1	51	1009	174801
1	74	1009	181548
1	55	1009	181628
1	55	1009	182231
1	22	1009	182930
1	33	1009	193420
1	46	1009	193941
1	58	1009	194359
1	7	1009	194400
1	86	1009	194402
1	75	1009	194743
1	50	1009	194745
1	22	1009	195547
1	75	1009	195551
1	59	1009	200159
1	89	1009	201345
1	9	1009	204700
1	63	1009	210003
1	20	1009	210159
1	82	1009	212055
1	10	1010	082154
1	7	1010	083521
1	58	1010	083525
1	86	1010	083525
1	56	1010	084229
1	19	1010	140849
1	51	1010	150332
1	91	1010	153712
1	7	1010	154728
1	22	1010	155502
1	89	1010	155859
1	50	1010	160241
1	18	1010	160529
1	13	1010	160633
1	20	1010	161700
1	85	1010	162217
1	45	1010	162218
1	23	1010	162219
1	85	1010	162843
1	45	1010	162847
1	23	1010	162848
1	52	1010	163025
1	12	1010	165928
1	87	1010	170023
1	64	1010	173601
1	20	1010	174820
1	69	1010	181130
1	74	1010	181808
1	61	1011	131254
1	76	1011	161954
1	37	1011	162217
1	46	1011	162716
1	46	1011	162906
1	88	1011	164011
1	44	1011	164748
1	87	1011	164853
1	66	1011	165116
1	30	1011	182751
1	22	1011	203558
1	63	1011	203604
1	10	1012	082005
1	20	1012	082006
1	3	1012	085247
1	82	1012	094524
1	63	1012	101823
1	38	1012	101825
1	58	1012	101946
1	86	1012	101946
1	7	1012	101958
1	51	1012	102309
1	13	1012	102311
1	88	1012	104127
1	22	1012	104130
1	20	1012	112457
1	74	1012	114455
1	64	1012	123439
1	58	1012	125834
1	86	1012	125836
1	64	1012	125848
1	14	1012	131013
1	87	1012	131551
1	59	1012	162028
1	51	1012	162312
1	85	1012	162500
1	43	1012	162711
1	41	1012	162711
1	85	1012	162855
1	85	1012	163658
1	20	1012	165836
1	55	1012	170537
1	49	1012	170841
1	74	1012	173536
1	12	1012	174306
1	59	1012	190420
1	37	1012	190554
1	3	1012	191223
1	14	1012	191224
1	10	1012	192131
1	89	1012	192222
1	18	1012	194729
1	87	1012	195236
1	13	1012	200431
1	51	1013	082828
1	13	1013	090951
1	22	1013	105525
1	45	1013	110655
1	85	1013	110658
1	23	1013	110659
1	18	1013	110807
1	1	1013	111651
1	71	1013	111654
1	63	1013	113123
1	38	1013	113125
1	3	1013	114823
1	10	1013	120708
1	59	1013	132325
1	89	1013	134737
1	34	1013	140231
1	20	1013	141604
1	18	1013	150258
1	3	1013	161556
1	55	1013	163046
1	87	1013	165831
1	55	1013	165944
1	89	1013	170036
1	48	1013	170754
1	74	1013	173115
1	22	1013	183241
1	43	1013	184447
1	41	1013	184449
1	59	1013	190941
1	75	1013	192005
1	50	1013	192007
1	13	1013	193347
1	87	1013	194117
1	36	1013	194741
1	88	1013	205137
1	51	1014	083532
1	4	1014	083922
1	13	1014	090950
1	62	1014	091316
1	91	1014	092533
1	37	1014	092535
1	89	1014	093034
1	51	1014	095707
1	49	1014	101501
1	86	1014	104259
1	7	1014	104300
1	40	1014	140702
1	14	1014	163100
1	74	1015	112401
1	38	1016	130015
1	21	1019	103528
1	34	1019	180446
1	40	1019	191259
1	74	1020	111524
1	38	1021	190609
1	14	1022	102622
1	14	1022	102635
1	38	1022	112256
1	74	1023	082710
1	40	1023	082930
1	44	1023	130504
1	18	1023	213249
1	38	1024	084008
1	38	1024	084108
1	74	1024	135946
1	40	1024	153215
1	14	1025	190437
1	14	1026	084727
1	40	1026	162250
1	18	1027	100854
1	38	1027	110531
1	34	1027	125546
1	74	1027	141748
1	18	1027	171755
1	18	1027	180158
1	74	1027	183701
1	18	1028	084838
1	18	1028	105144
1	44	1028	150958
1	38	1029	082217
1	34	1029	082353
1	18	1029	082510
1	88	1029	085950
1	40	1031	193235
1	14	1102	085752
1	18	1102	162515
1	74	1102	164712
1	38	1102	171200
1	40	1102	175710
1	18	1102	184231
1	74	1102	204856
1	34	1103	184145
1	18	1104	131525
1	34	1104	135143
1	38	1104	150933
1	14	1105	101929
1	14	1105	133148
1	18	1106	082507
1	40	1106	082814
1	44	1106	130249
1	38	1106	182646
1	21	1107	082228
1	74	1107	091611
1	38	1107	170602
1	14	1107	180925
1	18	1109	161829
1	74	1109	171851
1	18	1109	184840
1	74	1110	112547
1	21	1110	132952
1	21	1110	153925
1	74	1110	180535
1	18	1110	193554
1	21	1111	091024
1	74	1111	174620
1	18	1112	081657
1	74	1112	141521
1	40	1113	082605
1	74	1114	175633
1	18	1115	133228
1	18	1115	165154
1	14	1116	131448
1	18	1116	183538
1	18	1116	194210
1	18	1116	211242
1	34	1117	091331
1	74	1117	124440
1	34	1117	145812
1	74	1117	161514
1	18	1119	101839
1	40	1119	102530
1	18	1119	140954
1	40	1120	082606
1	18	1120	123551
1	44	1120	125240
1	18	1120	175413
1	38	1121	082404
1	14	1121	120904
1	38	1121	132232
1	14	1121	142715
1	18	1121	152835
1	85	1121	181255
1	40	1121	184508
1	85	1121	191743
1	40	1122	082230
1	38	1122	082318
1	38	1123	164149
1	38	1123	183753
1	18	1123	184333
1	74	1124	135603
1	74	1125	110941
1	44	1125	135021
1	40	1125	165334
1	38	1126	093129
1	74	1126	143716
1	18	1127	083201
1	74	1127	093603
1	38	1127	130131
1	40	1128	140206
1	18	1128	152951
1	85	1128	162209
1	38	1128	164742
1	88	1129	082047
1	88	1129	161057
1	85	1129	165643
1	14	1129	183330
1	74	1130	181229
1	18	1130	182857
