学期	学号	排名
1	1	2
1	2	69
1	3	42
1	4	29
1	5	60
1	6	51
1	7	57
1	21	82
1	9	20
1	10	40
1	11	37
1	12	5
1	13	41
1	59	86
1	15	22
1	16	43
1	83	48
1	18	6
1	19	80
1	20	45
1	8	67
1	22	50
1	23	30
1	24	72
1	25	75
1	26	88
1	27	71
1	28	38
1	29	89
1	30	39
1	31	90
1	32	87
1	33	83
1	34	62
1	35	63
1	36	33
1	37	44
1	38	15
1	39	8
1	40	81
1	41	12
1	42	58
1	43	10
1	44	65
1	45	53
1	46	18
1	47	76
1	48	79
1	49	64
1	50	11
1	51	3
1	52	70
1	53	46
1	54	25
1	55	23
1	56	24
1	57	54
1	58	19
1	14	16
1	60	77
1	61	9
1	62	59
1	63	35
1	64	26
1	65	32
1	66	84
1	67	21
1	68	74
1	69	73
1	70	27
1	71	66
1	72	4
1	73	56
1	74	68
1	75	49
1	76	52
1	77	85
1	78	31
1	79	13
1	80	91
1	81	47
1	82	55
1	17	61
1	84	36
1	85	17
1	86	28
1	87	1
1	88	78
1	89	14
1	90	7
1	91	34
2	1	3
2	2	55
2	3	52
2	4	26
2	5	66
2	6	54
2	7	34
2	8	88
2	45	58
2	10	84
2	11	79
2	12	1
2	13	22
2	59	85
2	15	67
2	16	36
2	83	56
2	18	14
2	19	80
2	20	71
2	21	73
2	22	45
2	23	23
2	24	72
2	25	70
2	26	83
2	27	60
2	28	27
2	29	87
2	30	64
2	31	81
2	32	86
2	33	90
2	34	78
2	35	32
2	36	42
2	37	46
2	38	21
2	39	39
2	40	75
2	41	7
2	42	38
2	43	4
2	44	51
2	9	8
2	46	13
2	47	77
2	48	62
2	49	49
2	50	18
2	51	6
2	52	65
2	53	43
2	54	28
2	55	35
2	56	9
2	57	63
2	58	47
2	14	16
2	60	69
2	61	10
2	62	12
2	63	33
2	64	11
2	65	61
2	66	82
2	67	17
2	68	76
2	69	41
2	70	68
2	71	29
2	72	30
2	73	37
2	74	40
2	75	19
2	76	57
2	77	89
2	78	74
2	79	15
2	80	91
2	81	59
2	82	50
2	17	24
2	84	25
2	85	44
2	86	48
2	87	2
2	88	53
2	89	5
2	90	20
2	91	31
