学期	学号	地点	日期	时间	金额
1	13	交通	0101	075817	4
1	55	食堂	0101	120141	4.7
1	15	食堂	0101	120709	2.5
1	15	食堂	0101	115408	4.2
1	39	食堂	0101	120112	2.2
1	39	食堂	0101	120146	3
1	55	食堂	0101	121435	3.2
1	20	食堂	0101	111142	0.6
1	39	宿舍	0101	114028	0.02
1	62	宿舍	0101	033527	0.1
1	51	宿舍	0101	073434	0.15
1	13	食堂	0101	075104	1.8
1	51	食堂	0101	080013	0.7
1	41	宿舍	0101	084532	0.17
1	15	宿舍	0101	103523	0.16
1	51	食堂	0101	111808	4.2
1	67	宿舍	0101	001902	0.1
1	10	食堂	0101	111230	0.6
1	51	食堂	0101	075936	1.6
1	62	食堂	0101	075826	11.3
1	7	宿舍	0101	083657	0.05
1	51	超市	0101	113430	16.2
1	7	食堂	0101	114348	5.2
1	86	宿舍	0101	085146	0.2
1	20	食堂	0101	111845	0.35
1	39	宿舍	0101	003741	0.03
1	39	宿舍	0101	004022	0.01
1	19	食堂	0101	084130	0.63
1	10	食堂	0101	111916	0.35
1	13	食堂	0101	075603	2.5
1	67	宿舍	0101	001953	0.03
1	7	宿舍	0101	024015	0.8
1	67	宿舍	0101	003051	0.16
1	39	宿舍	0101	004420	1.3
1	10	食堂	0101	171059	5.1
1	2	食堂	0101	124032	16
1	55	宿舍	0101	183638	0.07
1	2	食堂	0101	124605	1.5
1	10	宿舍	0101	174954	1
1	20	宿舍	0101	163509	0.08
1	41	食堂	0101	165424	5
1	39	宿舍	0101	145045	0.03
1	2	超市	0101	132324	30
1	2	超市	0101	132328	30
1	2	超市	0101	132331	14.6
1	51	食堂	0101	172327	5.2
1	86	宿舍	0101	164152	2.9
1	20	食堂	0101	171109	5.1
1	10	食堂	0101	171737	0.35
1	20	食堂	0101	171142	1
1	10	宿舍	0101	174817	0.07
1	2	食堂	0101	124140	6.5
1	39	宿舍	0101	153049	0.01
1	22	宿舍	0101	192639	0.08
1	84	宿舍	0101	194313	0.17
1	15	宿舍	0101	200844	0.16
1	39	宿舍	0101	201858	0.01
1	76	宿舍	0101	220917	0.17
1	7	宿舍	0101	235746	1
1	63	宿舍	0101	191150	0.12
1	54	宿舍	0101	223313	0.8
1	84	宿舍	0101	201511	0.16
1	11	食堂	0101	202519	6.5
1	10	食堂	0102	112305	0.6
1	10	食堂	0102	113020	0.35
1	39	食堂	0102	114445	1.5
1	22	食堂	0102	114614	1.8
1	11	食堂	0102	115223	3
1	11	食堂	0102	115230	1
1	39	食堂	0102	114439	1.2
1	22	食堂	0102	115228	6.6
1	22	食堂	0102	115249	0.2
1	86	宿舍	0102	120953	0.17
1	20	食堂	0102	112330	0.6
1	20	食堂	0102	112405	0.35
1	39	食堂	0102	114500	1.6
1	7	食堂	0102	113729	7.4
1	63	宿舍	0102	121119	0.13
1	7	食堂	0102	115828	2.5
1	48	宿舍	0102	015612	2
1	39	宿舍	0102	000824	0.04
1	86	宿舍	0102	002221	0.24
1	48	宿舍	0102	020523	0.16
1	7	宿舍	0102	002237	0.05
1	67	宿舍	0102	082910	1.4
