学期	学号	书号	日期
1	246	TP	0903	
1	453	TP	0903	
1	514	TP	0904	
1	514	O	0904	
1	514	O	0904	
1	514	O	0904	
1	514	O	0904	
1	41	I	0904	
1	41	K	0904	
1	16	TP	0905	
1	290	TP	0905	
1	290	TP	0905	
1	16	I	0905	
1	16	I	0905	
1	132	TP	0905	
1	132	TP	0905	
1	28	O	0906	
1	28	TP	0906	
1	481	H	0906	
1	481	TP	0906	
1	150	TP	0906	
1	132	I	0906	
1	132	I	0906	
1	132	I	0906	
1	468	P	0906	
1	68	O	0906	
1	537	H	0906	
1	537	H	0906	
1	537	H	0906	
1	21	B	0906	
1	372	TP	0906	
1	290	H	0907	
1	290	I	0907	
1	290	H	0907	
1	290	H	0907	
1	290	H	0907	
1	290	I	0907	
1	245	TP	0907	
1	362	TP	0907	
1	204	O	0907	
1	457	H	0907	
1	457	H	0907	
1	457	H	0907	
1	480	O	0907	
1	457	O	0907	
1	529	O	0907	
1	457	TP	0907	
1	150	TP	0908	
1	150	TP	0908	
1	327	I	0908	
1	468	O	0908	
1	361	TP	0909	
1	361	TP	0909	
1	5	TP	0909	
1	5	TP	0909	
1	5	TP	0909	
1	5	TP	0909	
1	481	H	0909	
1	40	TP	0909	
1	40	TP	0909	
1	19	I	0909	
1	19	H	0909	
1	446	C	0909	
1	446	F	0909	
1	446	C	0909	
1	455	I	0909	
1	455	TP	0909	
1	455	I	0909	
1	231	I	0909	
1	310	I	0909	
1	89	I	0909	
1	89	I	0909	
1	89	I	0909	
1	204	H	0909	
1	204	H	0909	
1	204	O	0909	
1	459	H	0909	
1	459	H	0909	
1	459	H	0909	
1	529	O	0909	
1	145	TP	0909	
1	145	B	0909	
1	145	I	0909	
1	406	G	0909	
1	406	I	0909	
1	406	I	0909	
1	268	TP	0909	
1	318	TP	0909	
1	318	TP	0909	
1	392	H	0909	
1	326	H	0909	
1	326	H	0909	
1	326	K	0909	
1	258	H	0909	
1	258	H	0909	
1	263	TP	0909	
1	6	H	0909	
1	6	H	0909	
1	135	H	0909	
1	135	H	0909	
1	337	K	0909	
1	65	TP	0909	
1	65	H	0909	
1	65	TP	0909	
1	65	I	0909	
1	414	O	0909	
1	414	O	0909	
1	414	I	0909	
1	414	O	0909	
1	481	TP	0909	
1	481	TP	0909	
1	355	O	0909	
1	355	O	0909	
1	355	TB	0909	
1	355	O	0909	
1	70	O	0909	
1	119	I	0909	
1	220	I	0909	
1	220	I	0909	
1	220	F	0909	
1	337	C	0909	
1	384	TP	0909	
1	384	TP	0909	
1	384	TP	0909	
1	355	I	0909	
1	355	I	0909	
1	70	TP	0909	
1	384	TP	0909	
1	384	TP	0909	
1	152	TP	0909	
1	152	R	0909	
1	422	I	0909	
1	481	TP	0909	
1	125	P	0909	
1	125	P	0909	
1	187	H	0909	
1	187	H	0909	
1	179	H	0909	
1	70	I	0909	
1	355	I	0909	
1	405	J	0909	
1	405	H	0909	
1	246	TP	0909	
1	349	O	0909	
1	349	O	0909	
1	349	TP	0909	
1	349	H	0909	
1	429	I	0909	
1	432	I	0909	
1	105	I	0909	
1	159	I	0909	
1	432	O	0909	
1	432	O	0909	
1	432	O	0909	
1	432	O	0909	
1	432	O	0909	
1	432	O	0909	
1	71	O	0909	
1	145	K	0910	
1	277	TP	0910	
1	277	TP	0910	
1	277	TP	0910	
1	150	TN	0910	
1	150	TN	0910	
1	150	TN	0910	
1	496	H	0910	
1	496	H	0910	
1	496	H	0910	
1	496	H	0910	
1	176	TN	0911	
1	176	TN	0911	
1	176	TP	0911	
1	65	TP	0911	
1	368	TP	0911	
1	368	TP	0911	
1	368	TP	0911	
1	485	B	0911	
1	246	TP	0911	
1	70	O	0911	
1	70	O	0911	
1	70	O	0911	
1	70	O	0911	
1	125	TP	0912	
1	167	I	0912	
1	15	TP	0912	
1	15	I	0912	
1	526	I	0912	
1	443	B	0912	
1	131	I	0912	
1	254	I	0913	
1	244	I	0913	
1	492	TP	0913	
1	70	TN	0914	
1	70	TP	0914	
1	70	TP	0914	
1	70	TN	0914	
1	133	TP	0914	
1	133	TP	0914	
1	133	TP	0914	
1	133	TN	0914	
1	133	TP	0914	
1	270	TP	0914	
1	270	TP	0914	
1	270	TP	0914	
1	270	TN	0914	
1	408	TP	0914	
1	150	I	0914	
1	150	I	0914	
1	150	I	0914	
1	150	I	0914	
1	150	I	0914	
1	150	I	0914	
1	131	TP	0914	
1	172	TP	0914	
1	349	R	0914	
1	349	R	0914	
1	349	R	0914	
1	443	O	0914	
1	443	B	0914	
1	172	TP	0914	
1	442	I	0914	
1	442	I	0914	
1	442	I	0914	
1	513	B	0915	
1	25	TP	0915	
1	172	TP	0915	
1	172	TP	0915	
1	172	TP	0915	
1	46	D	0915	
1	172	TP	0915	
1	290	I	0915	
1	290	I	0915	
1	290	O	0915	
1	25	H	0915	
1	46	H	0915	
1	526	P	0915	
1	414	I	0915	
1	414	I	0915	
1	155	I	0915	
1	155	H	0915	
1	341	I	0915	
1	341	I	0915	
1	121	TN	0915	
1	121	TN	0915	
1	121	TN	0915	
1	121	TN	0915	
1	121	TN	0915	
1	121	TN	0915	
1	279	H	0915	
1	416	H	0915	
1	416	H	0915	
1	429	I	0915	
1	429	I	0915	
1	429	I	0915	
1	93	TP	0915	
1	303	B	0915	
1	87	B	0915	
1	359	TP	0915	
1	359	TP	0915	
1	363	I	0915	
1	363	TP	0915	
1	87	F	0915	
1	359	O	0915	
1	1	TP	0915	
1	425	I	0915	
1	425	H	0915	
1	425	H	0915	
1	358	K	0915	
1	196	Z	0915	
1	450	TN	0915	
1	337	O	0915	
1	292	I	0915	
1	292	B	0915	
1	292	B	0915	
1	292	B	0915	
1	292	F	0915	
1	238	I	0915	
1	238	I	0915	
1	238	I	0915	
1	512	TP	0915	
1	208	B	0915	
1	208	H	0915	
1	208	H	0915	
1	491	H	0915	
1	491	H	0915	
1	491	H	0915	
1	358	H	0915	
1	497	K	0915	
1	497	TS	0915	
